filename,species,lat,long,temp,ear:head
pb11,polar,81.561612,46.16172,-10.35,0.071772133
pb9,polar,80.478152,15.227534,-6.75,0.092538112
pb1,polar,79.759701,12.032467,-6.25,0.101861252
pb2,polar,79.56944,13.880624,-6.95,0.08707483
pb17,polar,79.293715,11.504977,-6.25,0.066080601
pb35,polar,79.056574,102.405215,-17.45,0.064903597
pb13,polar,78.995334,-75.685493,-13.85,0.058914405
pb19,polar,78.961868,11.975509,-5.85,0.07207024
pb30,polar,78.86605,-75.742533,-14.75,0.077196067
pb4,polar,78.55686,19.041588,-8.95,0.064322073
pb8,polar,77.601243,-73.307467,-9.35,0.0848906
pb39,polar,74.672509,-94.905331,-14.55,0.046264065
pb10,polar,74.452009,-82.43028,-12.55,0.061317449
pb38,polar,74.257152,-163.807735,-12.35,0.059635859
pb6,polar,72.773079,-22.878141,-11.55,0.076682761
pb0,polar,72.031174,-94.372035,-14.85,0.073397277
pb14,polar,71.862541,-96.781965,-14.05,0.104646296
pb5,polar,71.377418,-156.513826,-10.55,0.060960805
pb29,polar,71.376985,-156.692368,-10.55,0.077215273
pb33,polar,71.204465,-156.538864,-10.75,0.068643954
pb18,polar,70.577085,68.300385,-8.85,0.057332595
pb21,polar,70.086005,-143.417479,-10.25,0.065398335
pb36,polar,70.030499,-143.350239,-10.25,0.078693458
pb32,polar,67.56853,-31.94956,-3.85,0.102253033
am35,american,67.058726,-136.095526,-8.75,0.114072039
pb34,polar,66.410407,-161.948366,-5.75,0.098939283
bb23,brown,66.138487,29.859651,0.05,0.109123892
bb32,brown,64.471786,29.980135,1.55,0.120802709
bb33,brown,64.260762,30.407275,1.55,0.096764469
bb12,brown,64.229003,30.426545,1.45,0.075147982
bb21,brown,64.213547,29.708405,1.75,0.078452014
bb22,brown,64.144161,29.943237,1.75,0.115132059
bb1,brown,64.001018,30.402929,1.65,0.133786256
bb18,brown,60.467779,-149.980068,1.85,0.083414483
bb14,brown,60.40802,167.07973,-2.65,0.093312526
am3,american,59.623325,-126.801453,-0.45,0.162587996
bb30,brown,59.229355,26.824647,5.35,0.082293846
pb40,polar,59.146766,-94.801222,-7.15,0.055401867
bb10,brown,59.12207,-154.239304,2.85,0.063713064
pb12,polar,58.807085,-94.208995,-6.85,0.052584335
pb3,polar,58.795313,-93.754675,-6.75,0.086907784
pb7,polar,58.786476,-93.709702,-6.75,0.086564719
pb28,polar,58.777815,-93.73583,-6.65,0.072288798
pb26,polar,58.767942,-94.169581,-6.85,0.035150747
pb22,polar,58.767942,-94.169581,-6.85,0.045107716
pb27,polar,58.767942,-94.169581,-6.85,0.081460222
pb25,polar,58.767942,-94.169581,-6.85,0.087754948
pb15,polar,58.767942,-94.169581,-6.85,0.129509624
pb23,polar,58.767808,-93.812277,-6.75,0.065413011
pb20,polar,58.705894,-94.083233,-6.65,0.053439565
bb34,brown,58.554835,-155.79081,2.05,0.096698904
bb39,brown,58.553633,-155.778449,2.05,0.072494412
bb25,brown,58.427336,-154.069915,3.75,0.066346374
bb36,brown,57.889376,-134.284095,4.85,0.057138776
pb37,polar,57.793851,-93.229022,-6.05,0.066623365
bb37,brown,57.430537,-135.00365,6.15,0.067667123
bb24,brown,57.37155,-153.476726,2.85,0.064120163
bb35,brown,57.37155,-153.476726,2.85,0.076455976
am11,american,57.233333,-117.466667,1.25,0.117422779
bb11,brown,56.402269,45.515391,4.55,0.141910469
pb24,polar,56.05005,-87.513324,-5.55,0.092939046
